,index,domain,single_cluster_idx,complete_cluster_idx,average_cluster_idx,seqlen,scTM,scRMSD,pLDDT,pAE,pct_helix,pct_strand,pct_ss,pct_left_helix,task,motifRMSD
44,44,sample_49,41,41,41,67,0.739,2.346,0.824,4.538,0.642,0.0,0.642,0.0,5TPN,1.4733677
45,45,sample_5,42,42,42,57,0.794,1.48,0.746,5.788,0.351,0.088,0.439,0.0,5TPN,1.7264951
46,46,sample_50,43,43,43,54,0.703,3.495,0.69,7.787,0.185,0.259,0.444,0.0,5TPN,0.5773097
47,47,sample_51,95,95,95,66,0.701,2.735,0.728,7.067,0.242,0.152,0.394,0.0,5TPN,1.3365418
48,48,sample_52,44,44,44,60,0.501,4.364,0.586,10.906,0.267,0.2,0.467,0.0,5TPN,3.2994678
49,49,sample_53,45,45,45,67,0.834,1.87,0.78,5.318,0.478,0.06,0.537,0.0,5TPN,0.9980842
50,50,sample_54,46,46,46,63,0.482,4.97,0.688,12.48,0.714,0.0,0.714,0.0,5TPN,3.9029346
51,51,sample_55,47,47,47,53,0.631,4.568,0.621,9.77,0.151,0.075,0.226,0.0,5TPN,0.8706399
52,52,sample_56,48,48,48,69,0.396,7.776,0.533,11.813,0.406,0.058,0.464,0.0,5TPN,2.3694026
53,53,sample_57,49,49,49,72,0.386,10.512,0.579,16.989,0.472,0.0,0.472,0.0,5TPN,4.939247
54,54,sample_58,50,50,50,66,0.368,6.944,0.43,15.389,0.136,0.0,0.136,0.0,5TPN,1.5865122
55,55,sample_59,51,51,51,73,0.669,2.362,0.753,5.128,0.603,0.0,0.603,0.0,5TPN,1.7472988
56,56,sample_6,52,52,52,51,0.77,1.401,0.598,8.498,0.255,0.137,0.392,0.0,5TPN,1.3619328
57,57,sample_60,53,53,53,58,0.447,6.026,0.648,11.108,0.379,0.0,0.379,0.0,5TPN,2.7656248
58,58,sample_61,54,54,54,62,0.493,9.12,0.64,16.739,0.452,0.0,0.452,0.0,5TPN,4.9892507
59,59,sample_62,55,55,55,73,0.853,1.345,0.782,6.006,0.589,0.068,0.658,0.0,5TPN,1.0007762
60,60,sample_63,56,56,56,61,0.517,3.325,0.518,11.411,0.295,0.0,0.295,0.0,5TPN,1.7019216
61,61,sample_64,57,57,57,67,0.589,4.318,0.511,11.679,0.239,0.134,0.373,0.0,5TPN,1.5371113
62,62,sample_65,94,94,94,73,0.406,6.801,0.561,9.82,0.205,0.397,0.603,0.0,5TPN,1.666131
63,63,sample_66,58,58,58,56,0.854,1.632,0.817,4.532,0.661,0.0,0.661,0.0,5TPN,1.2491028
64,64,sample_67,59,59,59,60,0.391,6.98,0.637,11.253,0.583,0.0,0.583,0.0,5TPN,2.4075105
65,65,sample_68,60,60,60,65,0.82,1.756,0.703,6.451,0.677,0.0,0.677,0.0,5TPN,1.6468271
66,66,sample_69,61,61,61,59,0.448,4.101,0.637,16.642,0.441,0.136,0.576,0.0,5TPN,2.632734
67,67,sample_7,62,62,62,72,0.397,7.903,0.55,14.238,0.431,0.0,0.431,0.0,5TPN,2.4351027
68,68,sample_70,63,63,63,67,0.573,5.67,0.568,13.805,0.299,0.164,0.463,0.0,5TPN,1.7357912
69,69,sample_71,64,64,64,64,0.46,7.065,0.549,9.674,0.234,0.188,0.422,0.0,5TPN,1.6110826
70,70,sample_72,65,65,65,68,0.646,3.753,0.664,7.351,0.294,0.088,0.382,0.0,5TPN,2.7624638
71,71,sample_73,66,66,66,55,0.6,2.318,0.456,15.165,0.273,0.091,0.364,0.0,5TPN,2.2307467
72,72,sample_74,67,67,67,53,0.729,2.427,0.782,5.054,0.189,0.094,0.283,0.0,5TPN,1.6298047
73,73,sample_75,68,68,68,65,0.454,5.202,0.79,6.205,0.569,0.0,0.569,0.0,5TPN,1.9318236
74,74,sample_76,69,69,69,65,0.475,4.0,0.642,10.772,0.431,0.154,0.585,0.0,5TPN,1.9815634
75,75,sample_77,70,70,70,60,0.682,4.018,0.727,7.102,0.367,0.2,0.567,0.0,5TPN,1.856583
76,76,sample_78,71,71,71,60,0.81,1.395,0.646,10.277,0.333,0.217,0.55,0.0,5TPN,1.2126286
77,77,sample_79,72,72,72,67,0.803,2.079,0.736,6.695,0.672,0.0,0.672,0.0,5TPN,2.1006906
78,78,sample_8,73,73,73,65,0.412,6.503,0.601,10.767,0.292,0.154,0.446,0.0,5TPN,3.5694077
79,79,sample_80,74,74,74,56,0.786,1.374,0.717,5.614,0.304,0.286,0.589,0.0,5TPN,1.2997991
80,80,sample_81,75,75,75,73,0.555,5.648,0.7,13.498,0.726,0.0,0.726,0.0,5TPN,3.3159359
81,81,sample_82,76,76,76,73,0.679,2.487,0.604,11.164,0.438,0.055,0.493,0.0,5TPN,1.3484302
82,82,sample_83,77,77,77,64,0.713,3.735,0.628,9.437,0.125,0.188,0.312,0.0,5TPN,0.865467
83,83,sample_84,78,78,78,73,0.751,3.679,0.649,9.598,0.205,0.247,0.452,0.0,5TPN,1.658816
84,84,sample_85,79,79,79,71,0.247,9.874,0.425,16.176,0.141,0.099,0.239,0.0,5TPN,3.7098665
85,85,sample_86,80,80,80,53,0.641,3.345,0.619,10.21,0.17,0.189,0.358,0.0,5TPN,1.6344007
86,86,sample_87,81,81,81,62,0.628,3.412,0.648,8.524,0.323,0.306,0.629,0.0,5TPN,0.93096447
87,87,sample_88,82,82,82,73,0.589,3.332,0.529,12.606,0.288,0.055,0.342,0.0,5TPN,2.7992117
88,88,sample_89,83,83,83,73,0.798,1.912,0.653,10.319,0.233,0.274,0.507,0.0,5TPN,1.1581815
89,89,sample_9,84,84,84,59,0.618,3.191,0.662,8.862,0.593,0.0,0.593,0.0,5TPN,2.0085013
90,90,sample_90,85,85,85,65,0.361,5.337,0.563,12.091,0.292,0.0,0.292,0.0,5TPN,1.6507776
91,91,sample_91,86,86,86,55,0.409,6.567,0.613,11.782,0.527,0.0,0.527,0.0,5TPN,3.9818566
92,92,sample_92,95,95,95,54,0.73,1.625,0.684,6.65,0.204,0.148,0.352,0.0,5TPN,1.1257198
93,93,sample_93,87,87,87,56,0.679,2.098,0.58,8.846,0.268,0.179,0.446,0.0,5TPN,2.0150325
94,94,sample_94,88,88,88,68,0.387,8.439,0.662,10.725,0.691,0.0,0.691,0.0,5TPN,4.3018513
95,95,sample_95,89,89,89,65,0.397,6.765,0.501,13.002,0.446,0.062,0.508,0.0,5TPN,3.0093503
96,96,sample_96,90,90,90,61,0.748,2.105,0.578,10.615,0.443,0.0,0.443,0.0,5TPN,1.8428947
97,97,sample_97,91,91,91,70,0.324,8.439,0.552,13.537,0.543,0.0,0.543,0.0,5TPN,3.4234324
98,98,sample_98,92,92,92,64,0.375,5.702,0.463,13.436,0.125,0.156,0.281,0.0,5TPN,5.0816884
99,99,sample_99,93,93,93,68,0.608,2.875,0.641,9.504,0.191,0.235,0.426,0.0,5TPN,1.6120776
100,0,sample_0,30,46,46,59,0.833,1.562,0.75,7.518,0.712,0.0,0.712,0.0,3IXT,0.4188397
101,1,sample_1,30,59,47,56,0.782,1.998,0.865,2.887,0.839,0.0,0.839,0.0,3IXT,0.4668369
102,2,sample_10,30,56,41,63,0.951,0.648,0.927,1.708,0.762,0.0,0.762,0.0,3IXT,0.45890984
103,3,sample_11,30,54,44,70,0.807,2.291,0.755,7.893,0.657,0.0,0.657,0.0,3IXT,0.44900742
104,4,sample_12,30,47,46,62,0.879,1.632,0.892,2.503,0.79,0.0,0.79,0.0,3IXT,0.5135129
105,5,sample_13,30,42,39,75,0.871,1.379,0.876,2.594,0.653,0.0,0.653,0.0,3IXT,0.5571761
106,6,sample_14,30,41,51,66,0.902,1.073,0.886,4.445,0.803,0.0,0.803,0.0,3IXT,0.38048255
107,7,sample_15,0,0,0,53,0.952,0.541,0.889,2.351,0.642,0.0,0.642,0.0,3IXT,0.3331883
108,8,sample_16,1,1,1,62,0.805,4.458,0.786,5.107,0.468,0.0,0.468,0.0,3IXT,0.5503585
109,9,sample_17,30,60,52,60,0.797,1.587,0.892,2.234,0.667,0.0,0.667,0.0,3IXT,0.6224051
110,10,sample_18,30,50,47,50,0.925,0.663,0.886,2.244,0.82,0.0,0.82,0.0,3IXT,0.47443804
111,11,sample_19,30,56,41,68,0.846,1.414,0.904,2.026,0.721,0.0,0.721,0.0,3IXT,0.5746275
112,12,sample_2,30,53,49,55,0.957,0.556,0.903,2.276,0.764,0.0,0.764,0.0,3IXT,0.32321656
113,13,sample_20,30,2,51,58,0.836,1.792,0.723,7.402,0.569,0.0,0.569,0.0,3IXT,0.4553634
114,14,sample_21,2,3,2,64,0.811,1.458,0.702,7.093,0.281,0.141,0.422,0.0,3IXT,0.46002883
115,15,sample_22,30,48,41,65,0.764,2.133,0.843,3.769,0.754,0.0,0.754,0.0,3IXT,0.52162135
116,16,sample_23,30,54,44,73,0.936,0.814,0.85,3.202,0.699,0.0,0.699,0.0,3IXT,0.43397117
117,17,sample_24,30,56,41,62,0.919,0.835,0.909,2.169,0.79,0.0,0.79,0.0,3IXT,0.6829966
118,18,sample_25,3,4,3,72,0.896,1.127,0.884,2.94,0.792,0.0,0.792,0.0,3IXT,0.53784484
119,19,sample_26,30,5,4,72,0.845,1.414,0.793,4.151,0.667,0.0,0.667,0.0,3IXT,0.44017026
120,20,sample_27,30,61,53,69,0.873,2.661,0.801,4.675,0.681,0.0,0.681,0.0,3IXT,0.4998649
121,21,sample_28,30,50,47,52,0.759,3.66,0.802,5.804,0.769,0.0,0.769,0.0,3IXT,0.43605348
122,22,sample_29,30,6,5,68,0.949,0.702,0.915,2.247,0.676,0.0,0.676,0.0,3IXT,0.47709882
123,23,sample_3,30,49,40,72,0.616,2.983,0.831,3.712,0.694,0.0,0.694,0.0,3IXT,0.33556494
124,24,sample_30,30,44,42,60,0.925,0.833,0.868,3.538,0.7,0.0,0.7,0.0,3IXT,0.38042483
125,25,sample_31,30,49,40,62,0.859,1.17,0.887,2.131,0.613,0.0,0.613,0.0,3IXT,0.5731729
126,26,sample_32,30,51,43,58,0.696,2.325,0.722,6.035,0.483,0.0,0.483,0.0,3IXT,0.50141793
127,27,sample_33,30,62,54,70,0.908,1.011,0.783,5.905,0.643,0.0,0.643,0.0,3IXT,0.4058623
128,28,sample_34,30,7,47,60,0.922,0.781,0.901,2.095,0.767,0.0,0.767,0.0,3IXT,0.5667336
129,29,sample_35,30,43,47,59,0.801,1.901,0.836,5.044,0.695,0.0,0.695,0.0,3IXT,0.46114638
130,30,sample_36,30,50,47,55,0.932,0.691,0.889,2.474,0.836,0.0,0.836,0.0,3IXT,0.42691797
131,31,sample_37,30,60,52,58,0.569,5.575,0.74,9.535,0.603,0.0,0.603,0.0,3IXT,0.4852188
132,32,sample_38,4,8,6,72,0.708,4.748,0.755,7.738,0.542,0.0,0.542,0.0,3IXT,0.6559073
133,33,sample_39,30,48,41,64,0.921,0.832,0.92,2.094,0.75,0.0,0.75,0.0,3IXT,0.3659536
134,34,sample_4,30,47,46,69,0.876,1.924,0.898,2.826,0.768,0.0,0.768,0.0,3IXT,0.44854322
135,35,sample_40,30,9,7,55,0.766,2.411,0.775,6.938,0.545,0.0,0.545,0.0,3IXT,0.44302854
136,36,sample_41,30,10,8,71,0.915,0.95,0.91,2.275,0.789,0.0,0.789,0.0,3IXT,0.54982
137,37,sample_42,30,47,46,70,0.839,3.049,0.823,4.452,0.714,0.0,0.714,0.0,3IXT,0.3744873
138,38,sample_43,5,11,9,68,0.954,0.663,0.863,2.595,0.691,0.0,0.691,0.0,3IXT,0.43477488
139,39,sample_44,30,44,42,63,0.946,0.776,0.92,2.007,0.73,0.0,0.73,0.0,3IXT,0.35733962
140,40,sample_45,30,53,49,59,0.853,2.004,0.859,4.226,0.644,0.0,0.644,0.0,3IXT,0.5630943
141,41,sample_46,30,51,43,51,0.734,2.422,0.74,5.604,0.51,0.0,0.51,0.0,3IXT,0.3739326
142,42,sample_47,6,12,10,67,0.836,1.37,0.827,3.605,0.403,0.224,0.627,0.0,3IXT,0.5816493
143,43,sample_48,7,13,11,57,0.776,2.631,0.826,5.863,0.649,0.0,0.649,0.0,3IXT,0.32378098
144,44,sample_49,30,43,47,59,0.758,3.613,0.785,6.714,0.627,0.0,0.627,0.0,3IXT,0.37951958
145,45,sample_5,30,14,12,66,0.812,2.564,0.776,5.854,0.758,0.0,0.758,0.0,3IXT,0.3925948
146,46,sample_50,30,50,47,51,0.872,1.508,0.895,2.552,0.824,0.0,0.824,0.0,3IXT,0.52317566
147,47,sample_51,30,52,49,59,0.96,0.532,0.893,2.212,0.644,0.0,0.644,0.0,3IXT,0.5169441
148,48,sample_52,30,55,45,62,0.923,0.819,0.907,1.972,0.726,0.0,0.726,0.0,3IXT,0.34628445
149,49,sample_53,30,55,45,62,0.929,0.825,0.825,3.276,0.661,0.0,0.661,0.0,3IXT,0.3758737
150,50,sample_54,30,59,47,61,0.701,3.003,0.841,5.503,0.836,0.0,0.836,0.0,3IXT,0.47322476
151,51,sample_55,30,57,48,71,0.961,0.632,0.893,2.081,0.704,0.0,0.704,0.0,3IXT,0.36675242
152,52,sample_56,30,15,13,67,0.629,4.609,0.685,10.232,0.507,0.0,0.507,0.0,3IXT,0.5052687
153,53,sample_57,30,57,48,72,0.867,1.374,0.797,6.195,0.736,0.0,0.736,0.0,3IXT,0.37926653
154,54,sample_58,8,16,14,67,0.659,4.463,0.788,5.629,0.791,0.0,0.791,0.0,3IXT,0.4540929
155,55,sample_59,9,17,15,73,0.887,1.207,0.774,4.765,0.671,0.0,0.671,0.0,3IXT,0.39744604
156,56,sample_6,10,18,16,68,0.91,1.047,0.708,6.654,0.324,0.221,0.544,0.0,3IXT,0.649791
157,57,sample_60,11,19,17,74,0.915,0.943,0.839,4.923,0.797,0.0,0.797,0.0,3IXT,0.46122387
158,58,sample_61,12,20,18,71,0.928,1.035,0.902,2.451,0.704,0.0,0.704,0.0,3IXT,0.42053527
159,59,sample_62,30,46,46,58,0.837,1.449,0.922,2.362,0.759,0.0,0.759,0.0,3IXT,0.4727553
160,60,sample_63,30,45,42,67,0.883,1.318,0.851,3.794,0.672,0.0,0.672,0.0,3IXT,0.49344516
161,61,sample_64,30,42,39,73,0.948,0.746,0.894,2.54,0.685,0.0,0.685,0.0,3IXT,0.4893472
162,62,sample_65,13,21,19,72,0.756,2.562,0.829,4.911,0.556,0.0,0.556,0.0,3IXT,0.3955976
163,63,sample_66,14,22,20,71,0.904,1.131,0.771,6.097,0.437,0.127,0.563,0.0,3IXT,0.3131896
164,64,sample_67,30,62,54,66,0.783,2.719,0.696,8.733,0.561,0.0,0.561,0.0,3IXT,0.33441725
165,65,sample_68,15,23,21,68,0.765,3.25,0.733,8.193,0.588,0.0,0.588,0.0,3IXT,0.42734867
166,66,sample_69,16,24,22,65,0.825,2.485,0.867,4.366,0.754,0.0,0.754,0.0,3IXT,0.5302352
167,67,sample_7,17,25,23,52,0.392,6.109,0.767,11.059,0.654,0.0,0.654,0.0,3IXT,4.5395865
168,68,sample_70,18,26,24,71,0.646,3.772,0.675,11.111,0.634,0.0,0.634,0.0,3IXT,0.39764354
169,69,sample_71,19,27,25,70,0.47,8.447,0.667,13.989,0.514,0.114,0.629,0.0,3IXT,4.2223706
170,70,sample_72,20,28,26,69,0.747,4.995,0.839,6.337,0.681,0.0,0.681,0.0,3IXT,0.34978387
171,71,sample_73,30,44,42,68,0.88,1.708,0.855,3.579,0.779,0.0,0.779,0.0,3IXT,0.5240912
172,72,sample_74,30,52,42,60,0.942,0.683,0.887,2.541,0.667,0.0,0.667,0.0,3IXT,0.39263684
173,73,sample_75,30,29,27,60,0.697,4.57,0.77,5.124,0.65,0.0,0.65,0.0,3IXT,0.70757246
174,74,sample_76,21,30,28,59,0.728,1.953,0.852,3.666,0.712,0.0,0.712,0.0,3IXT,0.49385813
175,75,sample_77,30,56,41,63,0.856,1.235,0.812,4.34,0.794,0.0,0.794,0.0,3IXT,0.55530363
176,76,sample_78,22,31,29,63,0.895,1.296,0.847,4.167,0.556,0.0,0.556,0.0,3IXT,0.3716307
177,77,sample_79,30,32,30,73,0.886,1.571,0.84,4.873,0.781,0.0,0.781,0.0,3IXT,0.49581987
178,78,sample_8,30,45,42,54,0.795,1.414,0.745,4.88,0.611,0.0,0.611,0.0,3IXT,0.45231596
179,79,sample_80,30,41,51,59,0.861,1.166,0.867,2.99,0.814,0.0,0.814,0.0,3IXT,0.6030527
180,80,sample_81,23,33,31,70,0.72,2.425,0.716,7.482,0.543,0.0,0.543,0.0,3IXT,0.59444535
181,81,sample_82,24,34,32,75,0.899,1.351,0.86,3.382,0.667,0.0,0.667,0.0,3IXT,0.71279186
182,82,sample_83,30,44,42,61,0.859,1.388,0.83,3.446,0.754,0.0,0.754,0.0,3IXT,0.44361168
183,83,sample_84,30,61,53,62,0.896,1.004,0.851,3.383,0.726,0.0,0.726,0.0,3IXT,0.51467764
184,84,sample_85,30,50,47,53,0.913,0.798,0.889,2.652,0.679,0.075,0.755,0.0,3IXT,0.33802894
185,85,sample_86,25,35,33,71,0.644,7.42,0.693,9.991,0.493,0.0,0.493,0.0,3IXT,0.65780175
186,86,sample_87,30,57,48,68,0.938,0.753,0.787,8.29,0.691,0.0,0.691,0.0,3IXT,0.38709074
187,87,sample_88,30,36,34,63,0.808,3.698,0.694,9.583,0.54,0.0,0.54,0.0,3IXT,0.38986096
188,88,sample_89,30,56,41,68,0.838,1.529,0.861,3.723,0.691,0.0,0.691,0.0,3IXT,0.596483
189,89,sample_9,26,37,35,73,0.892,1.224,0.852,3.687,0.658,0.0,0.658,0.0,3IXT,0.4545223
190,90,sample_90,27,38,36,74,0.948,0.761,0.913,1.925,0.703,0.0,0.703,0.0,3IXT,0.46606594
191,91,sample_91,29,58,50,72,0.93,0.887,0.737,10.217,0.583,0.0,0.583,0.0,3IXT,0.35884467
192,92,sample_92,30,50,47,54,0.617,2.792,0.794,6.376,0.796,0.0,0.796,0.0,3IXT,0.524392
193,93,sample_93,30,39,37,61,0.909,1.171,0.858,3.565,0.77,0.0,0.77,0.0,3IXT,0.47669956
194,94,sample_94,28,40,38,75,0.875,1.318,0.786,10.294,0.747,0.0,0.747,0.0,3IXT,0.43478385
195,95,sample_95,30,43,47,64,0.761,1.701,0.9,2.96,0.828,0.0,0.828,0.0,3IXT,0.41591948
196,96,sample_96,30,59,47,55,0.863,2.309,0.849,4.062,0.691,0.0,0.691,0.0,3IXT,0.33623165
197,97,sample_97,29,58,50,70,0.927,0.957,0.834,4.726,0.657,0.0,0.657,0.0,3IXT,0.33768624
198,98,sample_98,30,52,42,60,0.923,0.984,0.873,2.886,0.783,0.0,0.783,0.0,3IXT,0.39385942
199,99,sample_99,30,45,42,65,0.879,1.45,0.789,5.584,0.631,0.0,0.631,0.0,3IXT,0.46399823
200,0,sample_0,0,0,0,67,0.635,3.27,0.627,10.632,0.224,0.209,0.433,0.0,1YCR,1.5945793
201,1,sample_1,1,1,1,53,0.619,4.398,0.825,5.51,0.717,0.0,0.717,0.0,1YCR,1.013348
202,2,sample_10,2,2,2,72,0.929,0.862,0.769,4.883,0.403,0.194,0.597,0.0,1YCR,0.27859956
203,3,sample_11,3,3,3,56,0.824,1.83,0.771,5.963,0.696,0.0,0.696,0.0,1YCR,0.6733645
204,4,sample_12,4,4,4,68,0.867,1.457,0.677,8.136,0.632,0.0,0.632,0.0,1YCR,1.1645516
205,5,sample_13,5,5,5,81,0.803,1.829,0.817,4.218,0.519,0.0,0.519,0.0,1YCR,0.8501468
206,6,sample_14,94,96,96,68,0.765,1.92,0.847,5.784,0.868,0.0,0.868,0.0,1YCR,1.2069142
207,7,sample_15,6,6,6,64,0.84,1.36,0.81,4.403,0.641,0.0,0.641,0.0,1YCR,1.2264107
208,8,sample_16,7,7,7,61,0.311,8.736,0.487,13.901,0.197,0.066,0.262,0.0,1YCR,2.1254344
209,9,sample_17,8,8,8,78,0.862,1.493,0.825,4.024,0.718,0.0,0.718,0.0,1YCR,0.6033423
210,10,sample_18,9,9,9,87,0.93,0.95,0.839,4.048,0.207,0.299,0.506,0.0,1YCR,0.62842935
211,11,sample_19,10,10,10,61,0.874,1.051,0.851,3.383,0.574,0.0,0.574,0.0,1YCR,0.48099223
212,12,sample_2,95,97,95,74,0.819,1.721,0.843,3.859,0.77,0.0,0.77,0.0,1YCR,1.2825452
213,13,sample_20,11,11,11,54,0.367,7.476,0.631,10.792,0.722,0.0,0.722,0.0,1YCR,1.2985622
214,14,sample_21,12,12,12,74,0.362,6.505,0.464,16.889,0.27,0.0,0.27,0.0,1YCR,1.268007
215,15,sample_22,13,13,13,74,0.926,1.221,0.868,3.128,0.568,0.0,0.568,0.0,1YCR,0.49899125
216,16,sample_23,14,14,14,55,0.62,3.794,0.496,14.025,0.091,0.291,0.382,0.0,1YCR,0.7361483
217,17,sample_24,15,15,15,41,0.522,3.29,0.728,6.786,0.707,0.0,0.707,0.0,1YCR,0.87900513
218,18,sample_25,16,16,16,51,0.646,4.237,0.615,8.548,0.51,0.0,0.51,0.0,1YCR,0.91897845
219,19,sample_26,17,17,17,61,0.443,7.322,0.749,9.137,0.656,0.0,0.656,0.0,1YCR,1.224154
220,20,sample_27,18,18,18,45,0.381,5.144,0.612,9.641,0.244,0.0,0.244,0.0,1YCR,0.8773429
221,21,sample_28,19,19,19,59,0.903,0.939,0.831,4.195,0.186,0.373,0.559,0.0,1YCR,0.5715093
222,22,sample_29,20,20,20,46,0.544,4.68,0.759,8.428,0.5,0.0,0.5,0.0,1YCR,0.5968565
223,23,sample_3,21,21,21,80,0.825,1.919,0.733,6.451,0.125,0.363,0.488,0.0,1YCR,0.53417695
224,24,sample_30,22,22,22,63,0.724,1.958,0.728,5.689,0.667,0.0,0.667,0.0,1YCR,1.2338681
225,25,sample_31,23,23,23,53,0.337,10.4,0.682,12.738,0.566,0.0,0.566,0.0,1YCR,1.3046007
226,26,sample_32,24,24,24,69,0.545,3.536,0.763,10.096,0.841,0.0,0.841,0.0,1YCR,1.3241454
227,27,sample_33,25,25,25,71,0.55,5.249,0.541,10.891,0.239,0.056,0.296,0.0,1YCR,0.79288805
228,28,sample_34,26,26,26,60,0.641,5.088,0.736,10.783,0.55,0.0,0.55,0.0,1YCR,0.8170006
229,29,sample_35,27,27,27,50,0.311,7.58,0.744,7.268,0.84,0.0,0.84,0.0,1YCR,1.4008225
